=== Trace for PID 2704 ===
Process: mini_httpd

--- Self PID 2704 Trace ---
  [000] inode: 57671, pc: 0x0001178c, module: mini_httpd
  [001] inode: 16401, pc: 0x00004064, module: libnvram_ioctl.so
  [002] inode: 57671, pc: 0x00011768, module: mini_httpd
  [003] inode: 57671, pc: 0x000116d4, module: mini_httpd
  [004] inode: 40966, pc: 0x0004af74, module: libc.so.0
  [005] inode: 57671, pc: 0x000116c0, module: mini_httpd
  [006] inode: 57671, pc: 0x0001166c, module: mini_httpd
  [007] inode: 57671, pc: 0x00011644, module: mini_httpd
  [008] inode: 40966, pc: 0x00049d40, module: libc.so.0
  [009] inode: 57671, pc: 0x0001162c, module: mini_httpd
  [010] inode: 57671, pc: 0x000112f0, module: mini_httpd
  [011] inode: 57671, pc: 0x00011620, module: mini_httpd
  [012] inode: 57671, pc: 0x0000d82c, module: mini_httpd
  [013] inode: 57671, pc: 0x0000d810, module: mini_httpd
  [014] inode: 57671, pc: 0x0000d7fc, module: mini_httpd
  [015] inode: 57671, pc: 0x0000d7e0, module: mini_httpd
  [016] inode: 57671, pc: 0x0000d7a8, module: mini_httpd
  [017] inode: 57671, pc: 0x0000d77c, module: mini_httpd
  [018] inode: 57671, pc: 0x00011618, module: mini_httpd
  [019] inode: 57671, pc: 0x000115bc, module: mini_httpd
  [020] inode: 40966, pc: 0x00049a10, module: libc.so.0
  [021] inode: 57671, pc: 0x000115a8, module: mini_httpd
  [022] inode: 57671, pc: 0x0001156c, module: mini_httpd
  [023] inode: 40966, pc: 0x00049a10, module: libc.so.0
  [024] inode: 57671, pc: 0x00011558, module: mini_httpd
  [025] inode: 57671, pc: 0x0001151c, module: mini_httpd
  [026] inode: 40966, pc: 0x00049a10, module: libc.so.0
  [027] inode: 57671, pc: 0x00011508, module: mini_httpd
  [028] inode: 57671, pc: 0x000114b8, module: mini_httpd
  [029] inode: 40966, pc: 0x00049a10, module: libc.so.0
  [030] inode: 57671, pc: 0x000114a4, module: mini_httpd
  [031] inode: 57671, pc: 0x00011468, module: mini_httpd
  [032] inode: 40966, pc: 0x00049a10, module: libc.so.0
  [033] inode: 57671, pc: 0x00011454, module: mini_httpd
  [034] inode: 57671, pc: 0x00011418, module: mini_httpd
  [035] inode: 40966, pc: 0x00049a10, module: libc.so.0
  [036] inode: 57671, pc: 0x00011404, module: mini_httpd
  [037] inode: 57671, pc: 0x000113c8, module: mini_httpd
  [038] inode: 40966, pc: 0x00049a10, module: libc.so.0
  [039] inode: 57671, pc: 0x000113b4, module: mini_httpd
  [040] inode: 57671, pc: 0x00011364, module: mini_httpd
  [041] inode: 40966, pc: 0x00049a10, module: libc.so.0
  [042] inode: 57671, pc: 0x00011350, module: mini_httpd
  [043] inode: 57671, pc: 0x00011314, module: mini_httpd
  [044] inode: 40966, pc: 0x00049a10, module: libc.so.0
  [045] inode: 57671, pc: 0x00011300, module: mini_httpd
  [046] inode: 57671, pc: 0x000112f0, module: mini_httpd
  [047] inode: 57671, pc: 0x00011620, module: mini_httpd
  [048] inode: 57671, pc: 0x0000d82c, module: mini_httpd
  [049] inode: 57671, pc: 0x0000d810, module: mini_httpd
  [050] inode: 57671, pc: 0x0000d7fc, module: mini_httpd
  [051] inode: 57671, pc: 0x0000d7e0, module: mini_httpd
  [052] inode: 57671, pc: 0x0000d7ac, module: mini_httpd
  [053] inode: 57671, pc: 0x0000d84c, module: mini_httpd
  [054] inode: 57671, pc: 0x0000d7ac, module: mini_httpd
  [055] inode: 57671, pc: 0x0000d84c, module: mini_httpd
  [056] inode: 57671, pc: 0x0000d7ac, module: mini_httpd
  [057] inode: 57671, pc: 0x0000d84c, module: mini_httpd
  [058] inode: 57671, pc: 0x0000d7ac, module: mini_httpd
  [059] inode: 57671, pc: 0x0000d84c, module: mini_httpd
  [060] inode: 57671, pc: 0x0000d7ac, module: mini_httpd
