=== Trace for PID 2215 ===
Process: ethlink

--- Self PID 2215 Trace ---
  [000] inode: 24578, pc: 0x0000484c, module: ld-uClibc.so.0, symbol: _dl_runtime_resolve
  [001] inode: 24664, pc: 0x00000b88, module: ethlink, symbol: main
  [002] inode: 24578, pc: 0x0000484c, module: ld-uClibc.so.0, symbol: _dl_runtime_resolve
  [003] inode: 24664, pc: 0x00000b68, module: ethlink, symbol: main
  [004] inode: 24578, pc: 0x0000484c, module: ld-uClibc.so.0, symbol: _dl_runtime_resolve
  [005] inode: 24664, pc: 0x00000b58, module: ethlink, symbol: main
  [006] inode: 24578, pc: 0x0000484c, module: ld-uClibc.so.0, symbol: _dl_runtime_resolve
  [007] inode: 24664, pc: 0x00000b38, module: ethlink, symbol: main
  [008] inode: 24580, pc: 0x00048ab0, module: libc.so.0, symbol: signal
  [009] inode: 24664, pc: 0x00000b20, module: ethlink, symbol: main
  [010] inode: 24580, pc: 0x00048ab0, module: libc.so.0, symbol: signal
  [011] inode: 24664, pc: 0x00000b10, module: ethlink, symbol: main
  [012] inode: 24578, pc: 0x00004810, module: ld-uClibc.so.0, symbol: _dl_runtime_resolve
  [013] inode: 24664, pc: 0x00000ac0, module: ethlink, symbol: main
  [014] inode: 24580, pc: 0x00050b8c, module: libc.so.0, symbol: __uClibc_main
  [015] inode: 24664, pc: 0x00001dc0, module: ethlink
  [016] inode: 24664, pc: 0x00001db0, module: ethlink
  [017] inode: 24664, pc: 0x00001d80, module: ethlink, symbol: __do_global_ctors_aux
  [018] inode: 24664, pc: 0x00000a9c, module: ethlink
  [019] inode: 24664, pc: 0x00000a70, module: ethlink
  [020] inode: 24588, pc: 0x00025dd4, module: libgcc_s.so.1, symbol: __register_frame_info
  [021] inode: 24664, pc: 0x00000a54, module: ethlink
  [022] inode: 24664, pc: 0x00000a30, module: ethlink, symbol: frame_dummy
  [023] inode: 24578, pc: 0x0000484c, module: ld-uClibc.so.0, symbol: _dl_runtime_resolve
  [024] inode: 24664, pc: 0x00000918, module: ethlink, symbol: __start
  [025] inode: 24664, pc: 0x00000900, module: ethlink, symbol: __start
  [026] inode: 24578, pc: 0x00000a80, module: ld-uClibc.so.0, symbol: _start
Total Self trace elements: 27

--- Parent PID 1250 Trace ---
  [000] inode: 32770, pc: 0x00047208, module: busybox
  [001] inode: 32770, pc: 0x000471b8, module: busybox
  [002] inode: 32770, pc: 0x00047174, module: busybox
  [003] inode: 32770, pc: 0x00047200, module: busybox
  [004] inode: 32770, pc: 0x0004473c, module: busybox
  [005] inode: 32770, pc: 0x00044734, module: busybox
  [006] inode: 32770, pc: 0x00044690, module: busybox
  [007] inode: 32770, pc: 0x000471f8, module: busybox
  [008] inode: 32770, pc: 0x0004467c, module: busybox
  [009] inode: 32770, pc: 0x00044674, module: busybox
  [010] inode: 32770, pc: 0x00044610, module: busybox
  [011] inode: 32770, pc: 0x000471f0, module: busybox
  [012] inode: 32770, pc: 0x000471c0, module: busybox
  [013] inode: 32770, pc: 0x0004b6a0, module: busybox
  [014] inode: 32770, pc: 0x00048448, module: busybox
