=== Trace for PID 228 ===
Process: alphapd

--- Self PID 228 Trace ---
  [000] inode: 8228, pc: 0x0004ee40, module: libuClibc-0.9.28.so, symbol: strcasecmp
  [001] inode: 16386, pc: 0x0000fd18, module: alphapd
  [002] inode: 16386, pc: 0x0000fd24, module: alphapd
  [003] inode: 16386, pc: 0x0000fd08, module: alphapd
  [004] inode: 8228, pc: 0x0004ee40, module: libuClibc-0.9.28.so, symbol: strcasecmp
  [005] inode: 16386, pc: 0x0000fd18, module: alphapd
  [006] inode: 16386, pc: 0x0000fd24, module: alphapd
  [007] inode: 16386, pc: 0x0000fd34, module: alphapd
  [008] inode: 16386, pc: 0x0000feb8, module: alphapd, symbol: websTestVar
  [009] inode: 16386, pc: 0x00011560, module: alphapd, symbol: websKernalParameter
  [010] inode: 16386, pc: 0x0001156c, module: alphapd, symbol: websKernalParameter
  [011] inode: 16386, pc: 0x00011584, module: alphapd, symbol: websKernalParameter
  [012] inode: 16386, pc: 0x000113e0, module: alphapd, symbol: ReplaceCgiPath
  [013] inode: 16386, pc: 0x000174b4, module: alphapd, symbol: webncasestrcmp
  [014] inode: 16386, pc: 0x000174ec, module: alphapd, symbol: webncasestrcmp
  [015] inode: 8228, pc: 0x0004f130, module: libuClibc-0.9.28.so, symbol: strlen
  [016] inode: 16386, pc: 0x000174f4, module: alphapd, symbol: webncasestrcmp
  [017] inode: 16386, pc: 0x00017508, module: alphapd, symbol: webncasestrcmp
  [018] inode: 8228, pc: 0x0004f130, module: libuClibc-0.9.28.so, symbol: strlen
  [019] inode: 16386, pc: 0x00017510, module: alphapd, symbol: webncasestrcmp
  [020] inode: 16386, pc: 0x0001754c, module: alphapd, symbol: webncasestrcmp
  [021] inode: 16386, pc: 0x00017520, module: alphapd, symbol: webncasestrcmp
  [022] inode: 8228, pc: 0x0004f160, module: libuClibc-0.9.28.so, symbol: strncasecmp
  [023] inode: 16386, pc: 0x00011420, module: alphapd, symbol: ReplaceCgiPath
  [024] inode: 16386, pc: 0x000114b0, module: alphapd, symbol: ReplaceCgiPath
  [025] inode: 16386, pc: 0x00011598, module: alphapd, symbol: websKernalParameter
  [026] inode: 16386, pc: 0x000115a4, module: alphapd, symbol: websKernalParameter
  [027] inode: 16386, pc: 0x00011584, module: alphapd, symbol: websKernalParameter
  [028] inode: 16386, pc: 0x000113e0, module: alphapd, symbol: ReplaceCgiPath
  [029] inode: 16386, pc: 0x000174b4, module: alphapd, symbol: webncasestrcmp
  [030] inode: 16386, pc: 0x000174ec, module: alphapd, symbol: webncasestrcmp
  [031] inode: 8228, pc: 0x0004f130, module: libuClibc-0.9.28.so, symbol: strlen
  [032] inode: 16386, pc: 0x000174f4, module: alphapd, symbol: webncasestrcmp
  [033] inode: 16386, pc: 0x00017508, module: alphapd, symbol: webncasestrcmp
  [034] inode: 8228, pc: 0x0004f130, module: libuClibc-0.9.28.so, symbol: strlen
  [035] inode: 16386, pc: 0x00017510, module: alphapd, symbol: webncasestrcmp
  [036] inode: 16386, pc: 0x0001754c, module: alphapd, symbol: webncasestrcmp
  [037] inode: 16386, pc: 0x00017520, module: alphapd, symbol: webncasestrcmp
  [038] inode: 8228, pc: 0x0004f160, module: libuClibc-0.9.28.so, symbol: strncasecmp
  [039] inode: 16386, pc: 0x00011420, module: alphapd, symbol: ReplaceCgiPath
  [040] inode: 16386, pc: 0x000114b0, module: alphapd, symbol: ReplaceCgiPath
  [041] inode: 16386, pc: 0x00011598, module: alphapd, symbol: websKernalParameter
  [042] inode: 16386, pc: 0x000115a4, module: alphapd, symbol: websKernalParameter
  [043] inode: 16386, pc: 0x00011584, module: alphapd, symbol: websKernalParameter
  [044] inode: 16386, pc: 0x000113e0, module: alphapd, symbol: ReplaceCgiPath
  [045] inode: 16386, pc: 0x000174b4, module: alphapd, symbol: webncasestrcmp
  [046] inode: 16386, pc: 0x000174ec, module: alphapd, symbol: webncasestrcmp
  [047] inode: 8228, pc: 0x0004f130, module: libuClibc-0.9.28.so, symbol: strlen
  [048] inode: 16386, pc: 0x000174f4, module: alphapd, symbol: webncasestrcmp
  [049] inode: 16386, pc: 0x00017508, module: alphapd, symbol: webncasestrcmp
  [050] inode: 8228, pc: 0x0004f130, module: libuClibc-0.9.28.so, symbol: strlen
  [051] inode: 16386, pc: 0x00017510, module: alphapd, symbol: webncasestrcmp
  [052] inode: 16386, pc: 0x0001754c, module: alphapd, symbol: webncasestrcmp
  [053] inode: 16386, pc: 0x00017520, module: alphapd, symbol: webncasestrcmp
  [054] inode: 8228, pc: 0x0004f160, module: libuClibc-0.9.28.so, symbol: strncasecmp
  [055] inode: 16386, pc: 0x00011420, module: alphapd, symbol: ReplaceCgiPath
  [056] inode: 16386, pc: 0x000114b0, module: alphapd, symbol: ReplaceCgiPath
  [057] inode: 16386, pc: 0x00011598, module: alphapd, symbol: websKernalParameter
  [058] inode: 16386, pc: 0x000115a4, module: alphapd, symbol: websKernalParameter
  [059] inode: 16386, pc: 0x00011584, module: alphapd, symbol: websKernalParameter
  [060] inode: 16386, pc: 0x000113e0, module: alphapd, symbol: ReplaceCgiPath
  [061] inode: 16386, pc: 0x000174b4, module: alphapd, symbol: webncasestrcmp
  [062] inode: 16386, pc: 0x000174ec, module: alphapd, symbol: webncasestrcmp
  [063] inode: 8228, pc: 0x0004f130, module: libuClibc-0.9.28.so, symbol: strlen
  [064] inode: 16386, pc: 0x000174f4, module: alphapd, symbol: webncasestrcmp
  [065] inode: 16386, pc: 0x00017508, module: alphapd, symbol: webncasestrcmp
  [066] inode: 8228, pc: 0x0004f130, module: libuClibc-0.9.28.so, symbol: strlen
  [067] inode: 16386, pc: 0x00017510, module: alphapd, symbol: webncasestrcmp
  [068] inode: 16386, pc: 0x0001754c, module: alphapd, symbol: webncasestrcmp
  [069] inode: 16386, pc: 0x00017520, module: alphapd, symbol: webncasestrcmp
  [070] inode: 8228, pc: 0x0004f160, module: libuClibc-0.9.28.so, symbol: strncasecmp
  [071] inode: 16386, pc: 0x00011420, module: alphapd, symbol: ReplaceCgiPath
  [072] inode: 16386, pc: 0x000114b0, module: alphapd, symbol: ReplaceCgiPath
  [073] inode: 16386, pc: 0x00011598, module: alphapd, symbol: websKernalParameter
  [074] inode: 16386, pc: 0x000115a4, module: alphapd, symbol: websKernalParameter
  [075] inode: 16386, pc: 0x00011584, module: alphapd, symbol: websKernalParameter
  [076] inode: 16386, pc: 0x000113e0, module: alphapd, symbol: ReplaceCgiPath
  [077] inode: 16386, pc: 0x000174b4, module: alphapd, symbol: webncasestrcmp
  [078] inode: 16386, pc: 0x000174ec, module: alphapd, symbol: webncasestrcmp
  [079] inode: 8228, pc: 0x0004f130, module: libuClibc-0.9.28.so, symbol: strlen
  [080] inode: 16386, pc: 0x000174f4, module: alphapd, symbol: webncasestrcmp
  [081] inode: 16386, pc: 0x00017508, module: alphapd, symbol: webncasestrcmp
  [082] inode: 8228, pc: 0x0004f130, module: libuClibc-0.9.28.so, symbol: strlen
  [083] inode: 16386, pc: 0x00017510, module: alphapd, symbol: webncasestrcmp
  [084] inode: 16386, pc: 0x0001754c, module: alphapd, symbol: webncasestrcmp
  [085] inode: 16386, pc: 0x00017520, module: alphapd, symbol: webncasestrcmp
  [086] inode: 8228, pc: 0x0004f160, module: libuClibc-0.9.28.so, symbol: strncasecmp
  [087] inode: 16386, pc: 0x00011420, module: alphapd, symbol: ReplaceCgiPath
  [088] inode: 16386, pc: 0x000114b0, module: alphapd, symbol: ReplaceCgiPath
  [089] inode: 16386, pc: 0x00011598, module: alphapd, symbol: websKernalParameter
  [090] inode: 16386, pc: 0x000115a4, module: alphapd, symbol: websKernalParameter
  [091] inode: 16386, pc: 0x00011584, module: alphapd, symbol: websKernalParameter
  [092] inode: 16386, pc: 0x000113e0, module: alphapd, symbol: ReplaceCgiPath
  [093] inode: 16386, pc: 0x000174b4, module: alphapd, symbol: webncasestrcmp
  [094] inode: 16386, pc: 0x000174ec, module: alphapd, symbol: webncasestrcmp
  [095] inode: 8228, pc: 0x0004f130, module: libuClibc-0.9.28.so, symbol: strlen
  [096] inode: 16386, pc: 0x000174f4, module: alphapd, symbol: webncasestrcmp
  [097] inode: 16386, pc: 0x00017508, module: alphapd, symbol: webncasestrcmp
  [098] inode: 8228, pc: 0x0004f130, module: libuClibc-0.9.28.so, symbol: strlen
  [099] inode: 16386, pc: 0x00017510, module: alphapd, symbol: webncasestrcmp
  [100] inode: 16386, pc: 0x0001754c, module: alphapd, symbol: webncasestrcmp
  [101] inode: 16386, pc: 0x00017520, module: alphapd, symbol: webncasestrcmp
  [102] inode: 8228, pc: 0x0004f160, module: libuClibc-0.9.28.so, symbol: strncasecmp
  [103] inode: 16386, pc: 0x00011420, module: alphapd, symbol: ReplaceCgiPath
  [104] inode: 16386, pc: 0x000114b0, module: alphapd, symbol: ReplaceCgiPath
  [105] inode: 16386, pc: 0x00011598, module: alphapd, symbol: websKernalParameter
  [106] inode: 16386, pc: 0x000115a4, module: alphapd, symbol: websKernalParameter
  [107] inode: 16386, pc: 0x00011584, module: alphapd, symbol: websKernalParameter
  [108] inode: 16386, pc: 0x000113e0, module: alphapd, symbol: ReplaceCgiPath
  [109] inode: 16386, pc: 0x000174b4, module: alphapd, symbol: webncasestrcmp
  [110] inode: 16386, pc: 0x000174ec, module: alphapd, symbol: webncasestrcmp
  [111] inode: 8228, pc: 0x0004f130, module: libuClibc-0.9.28.so, symbol: strlen
  [112] inode: 16386, pc: 0x000174f4, module: alphapd, symbol: webncasestrcmp
  [113] inode: 16386, pc: 0x00017508, module: alphapd, symbol: webncasestrcmp
  [114] inode: 8228, pc: 0x0004f130, module: libuClibc-0.9.28.so, symbol: strlen
  [115] inode: 16386, pc: 0x00017510, module: alphapd, symbol: webncasestrcmp
  [116] inode: 16386, pc: 0x0001754c, module: alphapd, symbol: webncasestrcmp
  [117] inode: 16386, pc: 0x00017520, module: alphapd, symbol: webncasestrcmp
  [118] inode: 8228, pc: 0x0004f160, module: libuClibc-0.9.28.so, symbol: strncasecmp
  [119] inode: 16386, pc: 0x00011420, module: alphapd, symbol: ReplaceCgiPath
  [120] inode: 16386, pc: 0x000114b0, module: alphapd, symbol: ReplaceCgiPath
  [121] inode: 16386, pc: 0x00011598, module: alphapd, symbol: websKernalParameter
  [122] inode: 16386, pc: 0x000115a4, module: alphapd, symbol: websKernalParameter
  [123] inode: 16386, pc: 0x00011584, module: alphapd, symbol: websKernalParameter
  [124] inode: 16386, pc: 0x000113e0, module: alphapd, symbol: ReplaceCgiPath
  [125] inode: 16386, pc: 0x000174b4, module: alphapd, symbol: webncasestrcmp
  [126] inode: 16386, pc: 0x000174ec, module: alphapd, symbol: webncasestrcmp
  [127] inode: 8228, pc: 0x0004f130, module: libuClibc-0.9.28.so, symbol: strlen
  [128] inode: 16386, pc: 0x000174f4, module: alphapd, symbol: webncasestrcmp
  [129] inode: 16386, pc: 0x00017508, module: alphapd, symbol: webncasestrcmp
  [130] inode: 8228, pc: 0x0004f130, module: libuClibc-0.9.28.so, symbol: strlen
  [131] inode: 16386, pc: 0x00017510, module: alphapd, symbol: webncasestrcmp
  [132] inode: 16386, pc: 0x0001754c, module: alphapd, symbol: webncasestrcmp
  [133] inode: 16386, pc: 0x00017520, module: alphapd, symbol: webncasestrcmp
  [134] inode: 8228, pc: 0x0004f160, module: libuClibc-0.9.28.so, symbol: strncasecmp
  [135] inode: 16386, pc: 0x00011420, module: alphapd, symbol: ReplaceCgiPath
  [136] inode: 16386, pc: 0x000114b0, module: alphapd, symbol: ReplaceCgiPath
  [137] inode: 16386, pc: 0x00011598, module: alphapd, symbol: websKernalParameter
  [138] inode: 16386, pc: 0x000115a4, module: alphapd, symbol: websKernalParameter
  [139] inode: 16386, pc: 0x00011584, module: alphapd, symbol: websKernalParameter
  [140] inode: 16386, pc: 0x000113e0, module: alphapd, symbol: ReplaceCgiPath
  [141] inode: 16386, pc: 0x000174b4, module: alphapd, symbol: webncasestrcmp
  [142] inode: 16386, pc: 0x000174ec, module: alphapd, symbol: webncasestrcmp
  [143] inode: 8228, pc: 0x0004f130, module: libuClibc-0.9.28.so, symbol: strlen
  [144] inode: 16386, pc: 0x000174f4, module: alphapd, symbol: webncasestrcmp
  [145] inode: 16386, pc: 0x00017508, module: alphapd, symbol: webncasestrcmp
  [146] inode: 8228, pc: 0x0004f130, module: libuClibc-0.9.28.so, symbol: strlen
  [147] inode: 16386, pc: 0x00017510, module: alphapd, symbol: webncasestrcmp
  [148] inode: 16386, pc: 0x0001754c, module: alphapd, symbol: webncasestrcmp
  [149] inode: 16386, pc: 0x00017520, module: alphapd, symbol: webncasestrcmp
  [150] inode: 8228, pc: 0x0004f160, module: libuClibc-0.9.28.so, symbol: strncasecmp
  [151] inode: 16386, pc: 0x00011420, module: alphapd, symbol: ReplaceCgiPath
  [152] inode: 16386, pc: 0x000114b0, module: alphapd, symbol: ReplaceCgiPath
  [153] inode: 16386, pc: 0x00011598, module: alphapd, symbol: websKernalParameter
  [154] inode: 16386, pc: 0x000115a4, module: alphapd, symbol: websKernalParameter
  [155] inode: 16386, pc: 0x00011584, module: alphapd, symbol: websKernalParameter
  [156] inode: 16386, pc: 0x000113e0, module: alphapd, symbol: ReplaceCgiPath
  [157] inode: 16386, pc: 0x000174b4, module: alphapd, symbol: webncasestrcmp
  [158] inode: 16386, pc: 0x000174ec, module: alphapd, symbol: webncasestrcmp
  [159] inode: 8228, pc: 0x0004f130, module: libuClibc-0.9.28.so, symbol: strlen
  [160] inode: 16386, pc: 0x000174f4, module: alphapd, symbol: webncasestrcmp
  [161] inode: 16386, pc: 0x00017508, module: alphapd, symbol: webncasestrcmp
  [162] inode: 8228, pc: 0x0004f130, module: libuClibc-0.9.28.so, symbol: strlen
  [163] inode: 16386, pc: 0x00017510, module: alphapd, symbol: webncasestrcmp
  [164] inode: 16386, pc: 0x0001754c, module: alphapd, symbol: webncasestrcmp
  [165] inode: 16386, pc: 0x00017520, module: alphapd, symbol: webncasestrcmp
  [166] inode: 8228, pc: 0x0004f160, module: libuClibc-0.9.28.so, symbol: strncasecmp
  [167] inode: 16386, pc: 0x00011420, module: alphapd, symbol: ReplaceCgiPath
  [168] inode: 16386, pc: 0x000114b0, module: alphapd, symbol: ReplaceCgiPath
  [169] inode: 16386, pc: 0x00011598, module: alphapd, symbol: websKernalParameter
  [170] inode: 16386, pc: 0x000115a4, module: alphapd, symbol: websKernalParameter
  [171] inode: 16386, pc: 0x00011584, module: alphapd, symbol: websKernalParameter
  [172] inode: 16386, pc: 0x000113e0, module: alphapd, symbol: ReplaceCgiPath
  [173] inode: 16386, pc: 0x000174b4, module: alphapd, symbol: webncasestrcmp
  [174] inode: 16386, pc: 0x000174ec, module: alphapd, symbol: webncasestrcmp
  [175] inode: 8228, pc: 0x0004f130, module: libuClibc-0.9.28.so, symbol: strlen
  [176] inode: 16386, pc: 0x000174f4, module: alphapd, symbol: webncasestrcmp
  [177] inode: 16386, pc: 0x00017508, module: alphapd, symbol: webncasestrcmp
  [178] inode: 8228, pc: 0x0004f130, module: libuClibc-0.9.28.so, symbol: strlen
  [179] inode: 16386, pc: 0x00017510, module: alphapd, symbol: webncasestrcmp
  [180] inode: 16386, pc: 0x0001754c, module: alphapd, symbol: webncasestrcmp
  [181] inode: 16386, pc: 0x00017520, module: alphapd, symbol: webncasestrcmp
  [182] inode: 8228, pc: 0x0004f160, module: libuClibc-0.9.28.so, symbol: strncasecmp
  [183] inode: 16386, pc: 0x00011420, module: alphapd, symbol: ReplaceCgiPath
  [184] inode: 16386, pc: 0x000114b0, module: alphapd, symbol: ReplaceCgiPath
  [185] inode: 16386, pc: 0x00011598, module: alphapd, symbol: websKernalParameter
  [186] inode: 16386, pc: 0x000115a4, module: alphapd, symbol: websKernalParameter
  [187] inode: 16386, pc: 0x00011584, module: alphapd, symbol: websKernalParameter
  [188] inode: 16386, pc: 0x000113e0, module: alphapd, symbol: ReplaceCgiPath
  [189] inode: 16386, pc: 0x000174b4, module: alphapd, symbol: webncasestrcmp
  [190] inode: 16386, pc: 0x000174ec, module: alphapd, symbol: webncasestrcmp
  [191] inode: 8228, pc: 0x0004f130, module: libuClibc-0.9.28.so, symbol: strlen
  [192] inode: 16386, pc: 0x000174f4, module: alphapd, symbol: webncasestrcmp
  [193] inode: 16386, pc: 0x00017508, module: alphapd, symbol: webncasestrcmp
  [194] inode: 8228, pc: 0x0004f130, module: libuClibc-0.9.28.so, symbol: strlen
  [195] inode: 16386, pc: 0x00017510, module: alphapd, symbol: webncasestrcmp
  [196] inode: 16386, pc: 0x0001754c, module: alphapd, symbol: webncasestrcmp
  [197] inode: 16386, pc: 0x00017520, module: alphapd, symbol: webncasestrcmp
  [198] inode: 8228, pc: 0x0004f160, module: libuClibc-0.9.28.so, symbol: strncasecmp
  [199] inode: 16386, pc: 0x00011420, module: alphapd, symbol: ReplaceCgiPath
  [200] inode: 16386, pc: 0x000114b0, module: alphapd, symbol: ReplaceCgiPath
  [201] inode: 16386, pc: 0x00011598, module: alphapd, symbol: websKernalParameter
  [202] inode: 16386, pc: 0x000115a4, module: alphapd, symbol: websKernalParameter
  [203] inode: 16386, pc: 0x00011584, module: alphapd, symbol: websKernalParameter
  [204] inode: 16386, pc: 0x000113e0, module: alphapd, symbol: ReplaceCgiPath
  [205] inode: 16386, pc: 0x000174b4, module: alphapd, symbol: webncasestrcmp
  [206] inode: 16386, pc: 0x000174ec, module: alphapd, symbol: webncasestrcmp
  [207] inode: 8228, pc: 0x0004f130, module: libuClibc-0.9.28.so, symbol: strlen
  [208] inode: 16386, pc: 0x000174f4, module: alphapd, symbol: webncasestrcmp
  [209] inode: 16386, pc: 0x00017508, module: alphapd, symbol: webncasestrcmp
  [210] inode: 8228, pc: 0x0004f130, module: libuClibc-0.9.28.so, symbol: strlen
  [211] inode: 16386, pc: 0x00017510, module: alphapd, symbol: webncasestrcmp
  [212] inode: 16386, pc: 0x0001754c, module: alphapd, symbol: webncasestrcmp
  [213] inode: 16386, pc: 0x00017520, module: alphapd, symbol: webncasestrcmp
  [214] inode: 8228, pc: 0x0004f160, module: libuClibc-0.9.28.so, symbol: strncasecmp
  [215] inode: 16386, pc: 0x00011420, module: alphapd, symbol: ReplaceCgiPath
  [216] inode: 16386, pc: 0x000114b0, module: alphapd, symbol: ReplaceCgiPath
  [217] inode: 16386, pc: 0x00011598, module: alphapd, symbol: websKernalParameter
  [218] inode: 16386, pc: 0x000115a4, module: alphapd, symbol: websKernalParameter
  [219] inode: 16386, pc: 0x00011584, module: alphapd, symbol: websKernalParameter
  [220] inode: 16386, pc: 0x000113e0, module: alphapd, symbol: ReplaceCgiPath
  [221] inode: 16386, pc: 0x000174b4, module: alphapd, symbol: webncasestrcmp
  [222] inode: 16386, pc: 0x000174ec, module: alphapd, symbol: webncasestrcmp
  [223] inode: 8228, pc: 0x0004f130, module: libuClibc-0.9.28.so, symbol: strlen
  [224] inode: 16386, pc: 0x000174f4, module: alphapd, symbol: webncasestrcmp
  [225] inode: 16386, pc: 0x00017508, module: alphapd, symbol: webncasestrcmp
  [226] inode: 8228, pc: 0x0004f130, module: libuClibc-0.9.28.so, symbol: strlen
  [227] inode: 16386, pc: 0x00017510, module: alphapd, symbol: webncasestrcmp
  [228] inode: 16386, pc: 0x0001754c, module: alphapd, symbol: webncasestrcmp
  [229] inode: 16386, pc: 0x00017520, module: alphapd, symbol: webncasestrcmp
  [230] inode: 8228, pc: 0x0004f160, module: libuClibc-0.9.28.so, symbol: strncasecmp
  [231] inode: 16386, pc: 0x00011420, module: alphapd, symbol: ReplaceCgiPath
  [232] inode: 16386, pc: 0x000114b0, module: alphapd, symbol: ReplaceCgiPath
  [233] inode: 16386, pc: 0x00011598, module: alphapd, symbol: websKernalParameter
  [234] inode: 16386, pc: 0x000115a4, module: alphapd, symbol: websKernalParameter
  [235] inode: 16386, pc: 0x00011584, module: alphapd, symbol: websKernalParameter
  [236] inode: 16386, pc: 0x000113e0, module: alphapd, symbol: ReplaceCgiPath
  [237] inode: 16386, pc: 0x000174b4, module: alphapd, symbol: webncasestrcmp
  [238] inode: 16386, pc: 0x000174ec, module: alphapd, symbol: webncasestrcmp
  [239] inode: 8228, pc: 0x0004f130, module: libuClibc-0.9.28.so, symbol: strlen
  [240] inode: 16386, pc: 0x000174f4, module: alphapd, symbol: webncasestrcmp
  [241] inode: 16386, pc: 0x00017508, module: alphapd, symbol: webncasestrcmp
  [242] inode: 8228, pc: 0x0004f130, module: libuClibc-0.9.28.so, symbol: strlen
  [243] inode: 16386, pc: 0x00017510, module: alphapd, symbol: webncasestrcmp
  [244] inode: 16386, pc: 0x0001754c, module: alphapd, symbol: webncasestrcmp
  [245] inode: 16386, pc: 0x00017520, module: alphapd, symbol: webncasestrcmp
  [246] inode: 8228, pc: 0x0004f160, module: libuClibc-0.9.28.so, symbol: strncasecmp
  [247] inode: 16386, pc: 0x00011420, module: alphapd, symbol: ReplaceCgiPath
  [248] inode: 16386, pc: 0x000114b0, module: alphapd, symbol: ReplaceCgiPath
  [249] inode: 16386, pc: 0x00011598, module: alphapd, symbol: websKernalParameter
  [250] inode: 16386, pc: 0x000115a4, module: alphapd, symbol: websKernalParameter
  [251] inode: 16386, pc: 0x00011584, module: alphapd, symbol: websKernalParameter
  [252] inode: 16386, pc: 0x000113e0, module: alphapd, symbol: ReplaceCgiPath
  [253] inode: 16386, pc: 0x000174b4, module: alphapd, symbol: webncasestrcmp
  [254] inode: 16386, pc: 0x000174ec, module: alphapd, symbol: webncasestrcmp
  [255] inode: 8228, pc: 0x0004f130, module: libuClibc-0.9.28.so, symbol: strlen
  [256] inode: 16386, pc: 0x000174f4, module: alphapd, symbol: webncasestrcmp
  [257] inode: 16386, pc: 0x00017508, module: alphapd, symbol: webncasestrcmp
  [258] inode: 8228, pc: 0x0004f130, module: libuClibc-0.9.28.so, symbol: strlen
  [259] inode: 16386, pc: 0x00017510, module: alphapd, symbol: webncasestrcmp
  [260] inode: 16386, pc: 0x0001754c, module: alphapd, symbol: webncasestrcmp
  [261] inode: 16386, pc: 0x00017520, module: alphapd, symbol: webncasestrcmp
  [262] inode: 8228, pc: 0x0004f160, module: libuClibc-0.9.28.so, symbol: strncasecmp
  [263] inode: 16386, pc: 0x00011420, module: alphapd, symbol: ReplaceCgiPath
  [264] inode: 16386, pc: 0x000114b0, module: alphapd, symbol: ReplaceCgiPath
  [265] inode: 16386, pc: 0x00011598, module: alphapd, symbol: websKernalParameter
  [266] inode: 16386, pc: 0x000115a4, module: alphapd, symbol: websKernalParameter
  [267] inode: 16386, pc: 0x000115b4, module: alphapd, symbol: websKernalParameter
  [268] inode: 16386, pc: 0x00017e48, module: alphapd, symbol: websUrlProcessRequest
  [269] inode: 16386, pc: 0x00017e68, module: alphapd, symbol: websUrlProcessRequest
  [270] inode: 8228, pc: 0x0004f130, module: libuClibc-0.9.28.so, symbol: strlen
  [271] inode: 16386, pc: 0x00017e7c, module: alphapd, symbol: websUrlProcessRequest
  [272] inode: 8228, pc: 0x0004f160, module: libuClibc-0.9.28.so, symbol: strncasecmp
  [273] inode: 16386, pc: 0x00017e98, module: alphapd, symbol: websUrlProcessRequest
  [274] inode: 16386, pc: 0x00017eac, module: alphapd, symbol: websUrlProcessRequest
  [275] inode: 16386, pc: 0x00017ef8, module: alphapd, symbol: websUrlProcessRequest
  [276] inode: 16386, pc: 0x00017e68, module: alphapd, symbol: websUrlProcessRequest
