=== Trace for PID 228 ===
Process: alphapd

--- Self PID 228 Trace ---
  [000] inode: 16386, pc: 0x00017508, module: alphapd, symbol: webncasestrcmp
  [001] inode: 8228, pc: 0x0004f130, module: libuClibc-0.9.28.so, symbol: strlen
  [002] inode: 16386, pc: 0x00017510, module: alphapd, symbol: webncasestrcmp
  [003] inode: 16386, pc: 0x0001754c, module: alphapd, symbol: webncasestrcmp
  [004] inode: 16386, pc: 0x00017520, module: alphapd, symbol: webncasestrcmp
  [005] inode: 8228, pc: 0x0004f160, module: libuClibc-0.9.28.so, symbol: strncasecmp
  [006] inode: 16386, pc: 0x00011420, module: alphapd, symbol: ReplaceCgiPath
  [007] inode: 16386, pc: 0x000114b0, module: alphapd, symbol: ReplaceCgiPath
  [008] inode: 16386, pc: 0x00011598, module: alphapd, symbol: websKernalParameter
  [009] inode: 16386, pc: 0x000115a4, module: alphapd, symbol: websKernalParameter
  [010] inode: 16386, pc: 0x00011584, module: alphapd, symbol: websKernalParameter
  [011] inode: 16386, pc: 0x000113e0, module: alphapd, symbol: ReplaceCgiPath
  [012] inode: 16386, pc: 0x000174b4, module: alphapd, symbol: webncasestrcmp
  [013] inode: 16386, pc: 0x000174ec, module: alphapd, symbol: webncasestrcmp
  [014] inode: 8228, pc: 0x0004f130, module: libuClibc-0.9.28.so, symbol: strlen
  [015] inode: 16386, pc: 0x000174f4, module: alphapd, symbol: webncasestrcmp
  [016] inode: 16386, pc: 0x00017508, module: alphapd, symbol: webncasestrcmp
  [017] inode: 8228, pc: 0x0004f130, module: libuClibc-0.9.28.so, symbol: strlen
  [018] inode: 16386, pc: 0x00017510, module: alphapd, symbol: webncasestrcmp
  [019] inode: 16386, pc: 0x0001754c, module: alphapd, symbol: webncasestrcmp
  [020] inode: 16386, pc: 0x00017520, module: alphapd, symbol: webncasestrcmp
  [021] inode: 8228, pc: 0x0004f160, module: libuClibc-0.9.28.so, symbol: strncasecmp
  [022] inode: 16386, pc: 0x00011420, module: alphapd, symbol: ReplaceCgiPath
  [023] inode: 16386, pc: 0x000114b0, module: alphapd, symbol: ReplaceCgiPath
  [024] inode: 16386, pc: 0x00011598, module: alphapd, symbol: websKernalParameter
  [025] inode: 16386, pc: 0x000115a4, module: alphapd, symbol: websKernalParameter
  [026] inode: 16386, pc: 0x00011584, module: alphapd, symbol: websKernalParameter
  [027] inode: 16386, pc: 0x000113e0, module: alphapd, symbol: ReplaceCgiPath
  [028] inode: 16386, pc: 0x000174b4, module: alphapd, symbol: webncasestrcmp
  [029] inode: 16386, pc: 0x000174ec, module: alphapd, symbol: webncasestrcmp
  [030] inode: 8228, pc: 0x0004f130, module: libuClibc-0.9.28.so, symbol: strlen
  [031] inode: 16386, pc: 0x000174f4, module: alphapd, symbol: webncasestrcmp
  [032] inode: 16386, pc: 0x00017508, module: alphapd, symbol: webncasestrcmp
  [033] inode: 8228, pc: 0x0004f130, module: libuClibc-0.9.28.so, symbol: strlen
  [034] inode: 16386, pc: 0x00017510, module: alphapd, symbol: webncasestrcmp
  [035] inode: 16386, pc: 0x0001754c, module: alphapd, symbol: webncasestrcmp
  [036] inode: 16386, pc: 0x00017520, module: alphapd, symbol: webncasestrcmp
  [037] inode: 8228, pc: 0x0004f160, module: libuClibc-0.9.28.so, symbol: strncasecmp
  [038] inode: 16386, pc: 0x00011420, module: alphapd, symbol: ReplaceCgiPath
  [039] inode: 16386, pc: 0x000114b0, module: alphapd, symbol: ReplaceCgiPath
  [040] inode: 16386, pc: 0x00011598, module: alphapd, symbol: websKernalParameter
  [041] inode: 16386, pc: 0x000115a4, module: alphapd, symbol: websKernalParameter
  [042] inode: 16386, pc: 0x00011584, module: alphapd, symbol: websKernalParameter
  [043] inode: 16386, pc: 0x000113e0, module: alphapd, symbol: ReplaceCgiPath
  [044] inode: 16386, pc: 0x000174b4, module: alphapd, symbol: webncasestrcmp
  [045] inode: 16386, pc: 0x000174ec, module: alphapd, symbol: webncasestrcmp
  [046] inode: 8228, pc: 0x0004f130, module: libuClibc-0.9.28.so, symbol: strlen
  [047] inode: 16386, pc: 0x000174f4, module: alphapd, symbol: webncasestrcmp
  [048] inode: 16386, pc: 0x00017508, module: alphapd, symbol: webncasestrcmp
  [049] inode: 8228, pc: 0x0004f130, module: libuClibc-0.9.28.so, symbol: strlen
  [050] inode: 16386, pc: 0x00017510, module: alphapd, symbol: webncasestrcmp
  [051] inode: 16386, pc: 0x0001754c, module: alphapd, symbol: webncasestrcmp
  [052] inode: 16386, pc: 0x00017520, module: alphapd, symbol: webncasestrcmp
  [053] inode: 8228, pc: 0x0004f160, module: libuClibc-0.9.28.so, symbol: strncasecmp
  [054] inode: 16386, pc: 0x00011420, module: alphapd, symbol: ReplaceCgiPath
  [055] inode: 16386, pc: 0x000114b0, module: alphapd, symbol: ReplaceCgiPath
  [056] inode: 16386, pc: 0x00011598, module: alphapd, symbol: websKernalParameter
  [057] inode: 16386, pc: 0x000115a4, module: alphapd, symbol: websKernalParameter
  [058] inode: 16386, pc: 0x00011584, module: alphapd, symbol: websKernalParameter
  [059] inode: 16386, pc: 0x000113e0, module: alphapd, symbol: ReplaceCgiPath
  [060] inode: 16386, pc: 0x000174b4, module: alphapd, symbol: webncasestrcmp
  [061] inode: 16386, pc: 0x000174ec, module: alphapd, symbol: webncasestrcmp
  [062] inode: 8228, pc: 0x0004f130, module: libuClibc-0.9.28.so, symbol: strlen
  [063] inode: 16386, pc: 0x000174f4, module: alphapd, symbol: webncasestrcmp
  [064] inode: 16386, pc: 0x00017508, module: alphapd, symbol: webncasestrcmp
  [065] inode: 8228, pc: 0x0004f130, module: libuClibc-0.9.28.so, symbol: strlen
  [066] inode: 16386, pc: 0x00017510, module: alphapd, symbol: webncasestrcmp
  [067] inode: 16386, pc: 0x0001754c, module: alphapd, symbol: webncasestrcmp
  [068] inode: 16386, pc: 0x00017520, module: alphapd, symbol: webncasestrcmp
  [069] inode: 8228, pc: 0x0004f160, module: libuClibc-0.9.28.so, symbol: strncasecmp
  [070] inode: 16386, pc: 0x00011420, module: alphapd, symbol: ReplaceCgiPath
