=== Trace for PID 2811 ===
Process: setup.cgi

--- Self PID 2811 Trace ---
  [000] inode: 41344, pc: 0x000204e4, module: setup.cgi
  [001] inode: 41344, pc: 0x000204ec, module: setup.cgi
  [002] inode: 41344, pc: 0x00020544, module: setup.cgi
  [003] inode: 41344, pc: 0x000204e4, module: setup.cgi
  [004] inode: 41344, pc: 0x000204ec, module: setup.cgi
  [005] inode: 41344, pc: 0x00020544, module: setup.cgi
  [006] inode: 41344, pc: 0x000204e4, module: setup.cgi
  [007] inode: 41344, pc: 0x000204ec, module: setup.cgi
  [008] inode: 41344, pc: 0x00020544, module: setup.cgi
  [009] inode: 41344, pc: 0x000204e4, module: setup.cgi
  [010] inode: 41344, pc: 0x000204ec, module: setup.cgi
  [011] inode: 41344, pc: 0x00020544, module: setup.cgi
  [012] inode: 41344, pc: 0x000204e4, module: setup.cgi
  [013] inode: 41344, pc: 0x000204ec, module: setup.cgi
  [014] inode: 41344, pc: 0x00020544, module: setup.cgi
  [015] inode: 41344, pc: 0x000204e4, module: setup.cgi
  [016] inode: 41344, pc: 0x000204ec, module: setup.cgi
  [017] inode: 41344, pc: 0x00020544, module: setup.cgi
  [018] inode: 41344, pc: 0x000204e4, module: setup.cgi
  [019] inode: 41344, pc: 0x000204ec, module: setup.cgi
  [020] inode: 41344, pc: 0x00020544, module: setup.cgi
  [021] inode: 41344, pc: 0x000204e4, module: setup.cgi
  [022] inode: 41344, pc: 0x00020558, module: setup.cgi
  [023] inode: 41344, pc: 0x00020580, module: setup.cgi
  [024] inode: 41344, pc: 0x00020648, module: setup.cgi
  [025] inode: 49154, pc: 0x00004bc0, module: ld-uClibc-0.9.30.so
  [026] inode: 41344, pc: 0x0002065c, module: setup.cgi
  [027] inode: 49218, pc: 0x0002fa00, module: libuClibc-0.9.30.so
  [028] inode: 41344, pc: 0x0002066c, module: setup.cgi
  [029] inode: 41344, pc: 0x000206d8, module: setup.cgi
  [030] inode: 41344, pc: 0x0002081c, module: setup.cgi
  [031] inode: 41344, pc: 0x0002115c, module: setup.cgi
  [032] inode: 41344, pc: 0x000211bc, module: setup.cgi
  [033] inode: 49218, pc: 0x0004afe4, module: libuClibc-0.9.30.so
  [034] inode: 41344, pc: 0x000211cc, module: setup.cgi
  [035] inode: 41344, pc: 0x000211dc, module: setup.cgi
  [036] inode: 49218, pc: 0x0004afe4, module: libuClibc-0.9.30.so
  [037] inode: 41344, pc: 0x000211e8, module: setup.cgi
  [038] inode: 41344, pc: 0x000211f8, module: setup.cgi
  [039] inode: 49154, pc: 0x00004bc0, module: ld-uClibc-0.9.30.so
  [040] inode: 41344, pc: 0x0002120c, module: setup.cgi
  [041] inode: 41344, pc: 0x00021218, module: setup.cgi
  [042] inode: 41344, pc: 0x00021324, module: setup.cgi
  [043] inode: 41344, pc: 0x00020828, module: setup.cgi
  [044] inode: 41344, pc: 0x00020898, module: setup.cgi
  [045] inode: 49218, pc: 0x00030960, module: libuClibc-0.9.30.so
  [046] inode: 41344, pc: 0x000208a8, module: setup.cgi
  [047] inode: 41344, pc: 0x0002084c, module: setup.cgi
  [048] inode: 41344, pc: 0x000205a4, module: setup.cgi
  [049] inode: 49218, pc: 0x0002f980, module: libuClibc-0.9.30.so
  [050] inode: 41344, pc: 0x000205f8, module: setup.cgi
  [051] inode: 49218, pc: 0x0004afe4, module: libuClibc-0.9.30.so
  [052] inode: 41344, pc: 0x0002060c, module: setup.cgi
  [053] inode: 49218, pc: 0x0002fc40, module: libuClibc-0.9.30.so
  [054] inode: 41344, pc: 0x00020628, module: setup.cgi
  [055] inode: 41344, pc: 0x00020448, module: setup.cgi
  [056] inode: 41344, pc: 0x00020490, module: setup.cgi
  [057] inode: 49218, pc: 0x0002f730, module: libuClibc-0.9.30.so
  [058] inode: 41344, pc: 0x000204a0, module: setup.cgi
  [059] inode: 41344, pc: 0x000204ac, module: setup.cgi
  [060] inode: 49218, pc: 0x0002fa00, module: libuClibc-0.9.30.so
  [061] inode: 41344, pc: 0x000204bc, module: setup.cgi
  [062] inode: 49218, pc: 0x0004afe4, module: libuClibc-0.9.30.so
  [063] inode: 41344, pc: 0x000204d4, module: setup.cgi
  [064] inode: 41344, pc: 0x000204e0, module: setup.cgi
  [065] inode: 41344, pc: 0x000204ec, module: setup.cgi
  [066] inode: 41344, pc: 0x00020544, module: setup.cgi
  [067] inode: 41344, pc: 0x000204e4, module: setup.cgi
  [068] inode: 41344, pc: 0x000204ec, module: setup.cgi
  [069] inode: 41344, pc: 0x00020544, module: setup.cgi
  [070] inode: 41344, pc: 0x000204e4, module: setup.cgi
  [071] inode: 41344, pc: 0x000204ec, module: setup.cgi
  [072] inode: 41344, pc: 0x00020544, module: setup.cgi
  [073] inode: 41344, pc: 0x000204e4, module: setup.cgi
  [074] inode: 41344, pc: 0x000204ec, module: setup.cgi
  [075] inode: 41344, pc: 0x00020544, module: setup.cgi
  [076] inode: 41344, pc: 0x000204e4, module: setup.cgi
  [077] inode: 41344, pc: 0x000204ec, module: setup.cgi
  [078] inode: 41344, pc: 0x00020544, module: setup.cgi
