=== Trace for PID 419 ===
Process: setup.cgi

--- Self PID 419 Trace ---
  [000] inode: 32774, pc: 0x0002fdcc, module: libc.so.0, symbol: strstr
  [001] inode: 8362, pc: 0x00012234, module: setup.cgi, symbol: html_parser
  [002] inode: 8362, pc: 0x00008c38, module: setup.cgi, symbol: nbtscan
  [003] inode: 32770, pc: 0x0000097c, module: ld-uClibc.so.0, symbol: _dl_runtime_resolve
  [004] inode: 8362, pc: 0x00008c24, module: setup.cgi, symbol: nbtscan
  [005] inode: 32770, pc: 0x00000940, module: ld-uClibc.so.0, symbol: _dl_runtime_resolve
  [006] inode: 8362, pc: 0x00008bfc, module: setup.cgi, symbol: nbtscan
  [007] inode: 8362, pc: 0x000106d8, module: setup.cgi, symbol: find_val
  [008] inode: 8362, pc: 0x000106cc, module: setup.cgi, symbol: find_val
  [009] inode: 8362, pc: 0x00011d10, module: setup.cgi, symbol: FindEntryData
  [010] inode: 8362, pc: 0x00011d00, module: setup.cgi, symbol: FindEntryData
  [011] inode: 8362, pc: 0x000105a4, module: setup.cgi
  [012] inode: 8362, pc: 0x00010574, module: setup.cgi
  [013] inode: 8362, pc: 0x0001056c, module: setup.cgi
  [014] inode: 32774, pc: 0x0002f980, module: libc.so.0, symbol: strcoll
  [015] inode: 8362, pc: 0x0001055c, module: setup.cgi
  [016] inode: 8362, pc: 0x00010500, module: setup.cgi
  [017] inode: 8362, pc: 0x00011cf4, module: setup.cgi, symbol: FindEntryData
  [018] inode: 8362, pc: 0x00011ce0, module: setup.cgi, symbol: FindEntryData
  [019] inode: 8362, pc: 0x00011cd8, module: setup.cgi, symbol: FindEntryData
  [020] inode: 8362, pc: 0x000105a4, module: setup.cgi
  [021] inode: 8362, pc: 0x00010574, module: setup.cgi
  [022] inode: 8362, pc: 0x0001056c, module: setup.cgi
  [023] inode: 32774, pc: 0x0002f980, module: libc.so.0, symbol: strcoll
  [024] inode: 8362, pc: 0x0001055c, module: setup.cgi
  [025] inode: 8362, pc: 0x00010500, module: setup.cgi
  [026] inode: 8362, pc: 0x00011ccc, module: setup.cgi, symbol: FindEntryData
  [027] inode: 8362, pc: 0x00011ce4, module: setup.cgi, symbol: FindEntryData
  [028] inode: 8362, pc: 0x00011cb8, module: setup.cgi, symbol: FindEntryData
  [029] inode: 8362, pc: 0x00011c90, module: setup.cgi, symbol: FindEntryData
  [030] inode: 8362, pc: 0x00010698, module: setup.cgi, symbol: find_val
  [031] inode: 8362, pc: 0x00008be4, module: setup.cgi, symbol: nbtscan
  [032] inode: 32770, pc: 0x00000940, module: ld-uClibc.so.0, symbol: _dl_runtime_resolve
  [033] inode: 8362, pc: 0x00008bcc, module: setup.cgi, symbol: nbtscan
  [034] inode: 8362, pc: 0x00008bb0, module: setup.cgi, symbol: nbtscan
  [035] inode: 32770, pc: 0x0000097c, module: ld-uClibc.so.0, symbol: _dl_runtime_resolve
  [036] inode: 8362, pc: 0x00008b74, module: setup.cgi, symbol: nbtscan
  [037] inode: 8362, pc: 0x000084f8, module: setup.cgi, symbol: CallActionByName
  [038] inode: 8362, pc: 0x000084f0, module: setup.cgi, symbol: CallActionByName
  [039] inode: 32774, pc: 0x0002f980, module: libc.so.0, symbol: strcoll
  [040] inode: 8362, pc: 0x000084e8, module: setup.cgi, symbol: CallActionByName
  [041] inode: 8362, pc: 0x00008518, module: setup.cgi, symbol: CallActionByName
  [042] inode: 8362, pc: 0x000084f0, module: setup.cgi, symbol: CallActionByName
  [043] inode: 32774, pc: 0x0002f980, module: libc.so.0, symbol: strcoll
  [044] inode: 8362, pc: 0x000084e8, module: setup.cgi, symbol: CallActionByName
  [045] inode: 8362, pc: 0x00008518, module: setup.cgi, symbol: CallActionByName
  [046] inode: 8362, pc: 0x000084f0, module: setup.cgi, symbol: CallActionByName
  [047] inode: 32774, pc: 0x0002f980, module: libc.so.0, symbol: strcoll
  [048] inode: 8362, pc: 0x000084e8, module: setup.cgi, symbol: CallActionByName
  [049] inode: 8362, pc: 0x00008518, module: setup.cgi, symbol: CallActionByName
  [050] inode: 8362, pc: 0x000084f0, module: setup.cgi, symbol: CallActionByName
  [051] inode: 32774, pc: 0x0002f980, module: libc.so.0, symbol: strcoll
  [052] inode: 8362, pc: 0x000084e8, module: setup.cgi, symbol: CallActionByName
  [053] inode: 8362, pc: 0x00008518, module: setup.cgi, symbol: CallActionByName
  [054] inode: 8362, pc: 0x000084f0, module: setup.cgi, symbol: CallActionByName
  [055] inode: 32774, pc: 0x0002f980, module: libc.so.0, symbol: strcoll
  [056] inode: 8362, pc: 0x000084e8, module: setup.cgi, symbol: CallActionByName
  [057] inode: 8362, pc: 0x00008518, module: setup.cgi, symbol: CallActionByName
  [058] inode: 8362, pc: 0x000084f0, module: setup.cgi, symbol: CallActionByName
  [059] inode: 32774, pc: 0x0002f980, module: libc.so.0, symbol: strcoll
  [060] inode: 8362, pc: 0x000084e8, module: setup.cgi, symbol: CallActionByName
  [061] inode: 8362, pc: 0x00008518, module: setup.cgi, symbol: CallActionByName
  [062] inode: 8362, pc: 0x000084f0, module: setup.cgi, symbol: CallActionByName
  [063] inode: 32774, pc: 0x0002f980, module: libc.so.0, symbol: strcoll
  [064] inode: 8362, pc: 0x000084e8, module: setup.cgi, symbol: CallActionByName
  [065] inode: 8362, pc: 0x00008518, module: setup.cgi, symbol: CallActionByName
  [066] inode: 8362, pc: 0x000084f0, module: setup.cgi, symbol: CallActionByName
  [067] inode: 32774, pc: 0x0002f980, module: libc.so.0, symbol: strcoll
  [068] inode: 8362, pc: 0x000084e8, module: setup.cgi, symbol: CallActionByName
  [069] inode: 8362, pc: 0x00008518, module: setup.cgi, symbol: CallActionByName
  [070] inode: 8362, pc: 0x000084f0, module: setup.cgi, symbol: CallActionByName
  [071] inode: 32774, pc: 0x0002f980, module: libc.so.0, symbol: strcoll
  [072] inode: 8362, pc: 0x000084e8, module: setup.cgi, symbol: CallActionByName
  [073] inode: 8362, pc: 0x00008518, module: setup.cgi, symbol: CallActionByName
  [074] inode: 8362, pc: 0x000084f0, module: setup.cgi, symbol: CallActionByName
  [075] inode: 32774, pc: 0x0002f980, module: libc.so.0, symbol: strcoll
  [076] inode: 8362, pc: 0x000084e8, module: setup.cgi, symbol: CallActionByName
  [077] inode: 8362, pc: 0x00008518, module: setup.cgi, symbol: CallActionByName
  [078] inode: 8362, pc: 0x000084f0, module: setup.cgi, symbol: CallActionByName
  [079] inode: 32774, pc: 0x0002f980, module: libc.so.0, symbol: strcoll
  [080] inode: 8362, pc: 0x000084e8, module: setup.cgi, symbol: CallActionByName
  [081] inode: 8362, pc: 0x00008518, module: setup.cgi, symbol: CallActionByName
  [082] inode: 8362, pc: 0x000084f0, module: setup.cgi, symbol: CallActionByName
  [083] inode: 32774, pc: 0x0002f980, module: libc.so.0, symbol: strcoll
