=== Trace for PID 308 ===
Process: network.cgi

--- Self PID 308 Trace ---
  [000] inode: 40962, pc: 0x00005130, module: ld-uClibc-0.9.30.so, symbol: _dl_runtime_resolve
  [001] inode: 16832, pc: 0x00000ea4, module: network.cgi, symbol: main
  [002] inode: 16832, pc: 0x00000e30, module: network.cgi, symbol: main
  [003] inode: 16832, pc: 0x000013bc, module: network.cgi, symbol: main
  [004] inode: 16832, pc: 0x000013b0, module: network.cgi, symbol: main
  [005] inode: 41012, pc: 0x00031270, module: libuClibc-0.9.30.so, symbol: strcmp
  [006] inode: 16832, pc: 0x0000139c, module: network.cgi, symbol: main
  [007] inode: 16832, pc: 0x00001388, module: network.cgi, symbol: main
  [008] inode: 41012, pc: 0x00031270, module: libuClibc-0.9.30.so, symbol: strcmp
  [009] inode: 16832, pc: 0x00001374, module: network.cgi, symbol: main
  [010] inode: 16832, pc: 0x00001360, module: network.cgi, symbol: main
  [011] inode: 41012, pc: 0x00031270, module: libuClibc-0.9.30.so, symbol: strcmp
  [012] inode: 16832, pc: 0x0000134c, module: network.cgi, symbol: main
  [013] inode: 16832, pc: 0x00000e80, module: network.cgi, symbol: main
  [014] inode: 41012, pc: 0x00031270, module: libuClibc-0.9.30.so, symbol: strcmp
  [015] inode: 16832, pc: 0x00000e6c, module: network.cgi, symbol: main
  [016] inode: 16832, pc: 0x00000e60, module: network.cgi, symbol: main
  [017] inode: 41012, pc: 0x00031270, module: libuClibc-0.9.30.so, symbol: strcmp
  [018] inode: 16832, pc: 0x00000e44, module: network.cgi, symbol: main
  [019] inode: 16832, pc: 0x00000e30, module: network.cgi, symbol: main
  [020] inode: 16832, pc: 0x00001394, module: network.cgi, symbol: main
  [021] inode: 16832, pc: 0x00001388, module: network.cgi, symbol: main
  [022] inode: 41012, pc: 0x00031270, module: libuClibc-0.9.30.so, symbol: strcmp
  [023] inode: 16832, pc: 0x00001374, module: network.cgi, symbol: main
  [024] inode: 16832, pc: 0x00001360, module: network.cgi, symbol: main
  [025] inode: 41012, pc: 0x00031270, module: libuClibc-0.9.30.so, symbol: strcmp
  [026] inode: 16832, pc: 0x0000134c, module: network.cgi, symbol: main
  [027] inode: 16832, pc: 0x00000e80, module: network.cgi, symbol: main
  [028] inode: 41012, pc: 0x00031270, module: libuClibc-0.9.30.so, symbol: strcmp
  [029] inode: 16832, pc: 0x00000e6c, module: network.cgi, symbol: main
  [030] inode: 16832, pc: 0x00000e60, module: network.cgi, symbol: main
  [031] inode: 41012, pc: 0x00031270, module: libuClibc-0.9.30.so, symbol: strcmp
  [032] inode: 16832, pc: 0x00000e44, module: network.cgi, symbol: main
  [033] inode: 16832, pc: 0x00000e30, module: network.cgi, symbol: main
  [034] inode: 16832, pc: 0x0000136c, module: network.cgi, symbol: main
  [035] inode: 16832, pc: 0x00001360, module: network.cgi, symbol: main
  [036] inode: 41012, pc: 0x00031274, module: libuClibc-0.9.30.so, symbol: strcmp
  [037] inode: 16832, pc: 0x0000134c, module: network.cgi, symbol: main
  [038] inode: 16832, pc: 0x00000e80, module: network.cgi, symbol: main
  [039] inode: 41012, pc: 0x00031270, module: libuClibc-0.9.30.so, symbol: strcmp
  [040] inode: 16832, pc: 0x00000e6c, module: network.cgi, symbol: main
  [041] inode: 16832, pc: 0x00000e60, module: network.cgi, symbol: main
  [042] inode: 41012, pc: 0x00031270, module: libuClibc-0.9.30.so, symbol: strcmp
  [043] inode: 16832, pc: 0x00000e48, module: network.cgi, symbol: main
  [044] inode: 16832, pc: 0x00000e8c, module: network.cgi, symbol: main
  [045] inode: 16832, pc: 0x00000e80, module: network.cgi, symbol: main
  [046] inode: 41012, pc: 0x00031270, module: libuClibc-0.9.30.so, symbol: strcmp
  [047] inode: 16832, pc: 0x00000e6c, module: network.cgi, symbol: main
  [048] inode: 16832, pc: 0x00000e60, module: network.cgi, symbol: main
  [049] inode: 41012, pc: 0x00031270, module: libuClibc-0.9.30.so, symbol: strcmp
  [050] inode: 16832, pc: 0x00000e44, module: network.cgi, symbol: main
  [051] inode: 16832, pc: 0x00000e28, module: network.cgi, symbol: main
  [052] inode: 40962, pc: 0x00005130, module: ld-uClibc-0.9.30.so, symbol: _dl_runtime_resolve
  [053] inode: 16832, pc: 0x00000e18, module: network.cgi, symbol: main
  [054] inode: 16832, pc: 0x00000e60, module: network.cgi, symbol: main
  [055] inode: 40962, pc: 0x00005130, module: ld-uClibc-0.9.30.so, symbol: _dl_runtime_resolve
  [056] inode: 16832, pc: 0x00000e44, module: network.cgi, symbol: main
  [057] inode: 16832, pc: 0x00000e0c, module: network.cgi, symbol: main
  [058] inode: 16832, pc: 0x00000d8c, module: network.cgi, symbol: main
  [059] inode: 40962, pc: 0x00005130, module: ld-uClibc-0.9.30.so, symbol: _dl_runtime_resolve
  [060] inode: 16832, pc: 0x00000d7c, module: network.cgi, symbol: main
  [061] inode: 40962, pc: 0x0000516c, module: ld-uClibc-0.9.30.so, symbol: _dl_runtime_resolve
  [062] inode: 16832, pc: 0x00000d54, module: network.cgi, symbol: main
  [063] inode: 40962, pc: 0x00005130, module: ld-uClibc-0.9.30.so, symbol: _dl_runtime_resolve
  [064] inode: 16832, pc: 0x00000d08, module: network.cgi, symbol: main
  [065] inode: 41012, pc: 0x00057cd0, module: libuClibc-0.9.30.so, symbol: __uClibc_main
  [066] inode: 16832, pc: 0x00001d18, module: network.cgi
  [067] inode: 16832, pc: 0x00001cb0, module: network.cgi
  [068] inode: 16832, pc: 0x00000bbc, module: network.cgi
  [069] inode: 16832, pc: 0x00000b74, module: network.cgi
  [070] inode: 40990, pc: 0x0000834c, module: libgcc_s_4181.so.1, symbol: __register_frame_info
  [071] inode: 16832, pc: 0x00000b5c, module: network.cgi
  [072] inode: 16832, pc: 0x00000b20, module: network.cgi
  [073] inode: 40962, pc: 0x0000516c, module: ld-uClibc-0.9.30.so, symbol: _dl_runtime_resolve
  [074] inode: 16832, pc: 0x000009cc, module: network.cgi, symbol: __start
  [075] inode: 16832, pc: 0x000009b0, module: network.cgi, symbol: __start
  [076] inode: 40962, pc: 0x00000ac0, module: ld-uClibc-0.9.30.so, symbol: _start
Total Self trace elements: 77

--- Parent PID 300 Trace ---
