=== Trace for PID 229 ===
Process: alphapd

--- Self PID 229 Trace ---
  [000] inode: 8228, pc: 0x0004e074, module: libuClibc-0.9.28.so, symbol: free
  [001] inode: 16386, pc: 0x0002ac10, module: alphapd, symbol: websCgibinProcessor
  [002] inode: 16386, pc: 0x0002ac04, module: alphapd, symbol: websCgibinProcessor
  [003] inode: 16386, pc: 0x0002abec, module: alphapd, symbol: websCgibinProcessor
  [004] inode: 16386, pc: 0x0001591c, module: alphapd, symbol: findStrInFile
  [005] inode: 16386, pc: 0x00015824, module: alphapd, symbol: findStrInFile
  [006] inode: 8228, pc: 0x0003e7f0, module: libuClibc-0.9.28.so, symbol: fopen
  [007] inode: 16386, pc: 0x00015810, module: alphapd, symbol: findStrInFile
  [008] inode: 16386, pc: 0x00015808, module: alphapd, symbol: findStrInFile
  [009] inode: 16386, pc: 0x000157e8, module: alphapd, symbol: findStrInFile
  [010] inode: 16386, pc: 0x0002abd4, module: alphapd, symbol: websCgibinProcessor
  [011] inode: 16386, pc: 0x0002abcc, module: alphapd, symbol: websCgibinProcessor
  [012] inode: 16386, pc: 0x0002abbc, module: alphapd, symbol: websCgibinProcessor
  [013] inode: 16386, pc: 0x0002abac, module: alphapd, symbol: websCgibinProcessor
  [014] inode: 16386, pc: 0x0002ab94, module: alphapd, symbol: websCgibinProcessor
  [015] inode: 16386, pc: 0x00006aac, module: alphapd, symbol: trace
  [016] inode: 16386, pc: 0x00006a70, module: alphapd, symbol: trace
  [017] inode: 16386, pc: 0x0002ab78, module: alphapd, symbol: websCgibinProcessor
  [018] inode: 16386, pc: 0x00017ebc, module: alphapd, symbol: websUrlProcessRequest
  [019] inode: 16386, pc: 0x00017e98, module: alphapd, symbol: websUrlProcessRequest
  [020] inode: 8228, pc: 0x0004f160, module: libuClibc-0.9.28.so, symbol: strncasecmp
  [021] inode: 16386, pc: 0x00017e7c, module: alphapd, symbol: websUrlProcessRequest
  [022] inode: 8228, pc: 0x0004f130, module: libuClibc-0.9.28.so, symbol: strlen
  [023] inode: 16386, pc: 0x00017e68, module: alphapd, symbol: websUrlProcessRequest
  [024] inode: 16386, pc: 0x00017ef8, module: alphapd, symbol: websUrlProcessRequest
  [025] inode: 16386, pc: 0x00017eac, module: alphapd, symbol: websUrlProcessRequest
  [026] inode: 16386, pc: 0x00017e98, module: alphapd, symbol: websUrlProcessRequest
  [027] inode: 8228, pc: 0x0004f160, module: libuClibc-0.9.28.so, symbol: strncasecmp
  [028] inode: 16386, pc: 0x00017e7c, module: alphapd, symbol: websUrlProcessRequest
  [029] inode: 8228, pc: 0x0004f130, module: libuClibc-0.9.28.so, symbol: strlen
  [030] inode: 16386, pc: 0x00017e68, module: alphapd, symbol: websUrlProcessRequest
  [031] inode: 16386, pc: 0x00017e48, module: alphapd, symbol: websUrlProcessRequest
  [032] inode: 16386, pc: 0x000115b4, module: alphapd, symbol: websKernalParameter
  [033] inode: 16386, pc: 0x000115a4, module: alphapd, symbol: websKernalParameter
  [034] inode: 16386, pc: 0x00011598, module: alphapd, symbol: websKernalParameter
  [035] inode: 16386, pc: 0x000114b0, module: alphapd, symbol: ReplaceCgiPath
  [036] inode: 16386, pc: 0x00011420, module: alphapd, symbol: ReplaceCgiPath
  [037] inode: 8228, pc: 0x0004f160, module: libuClibc-0.9.28.so, symbol: strncasecmp
  [038] inode: 16386, pc: 0x00017520, module: alphapd, symbol: webncasestrcmp
  [039] inode: 16386, pc: 0x0001754c, module: alphapd, symbol: webncasestrcmp
  [040] inode: 16386, pc: 0x00017510, module: alphapd, symbol: webncasestrcmp
  [041] inode: 8228, pc: 0x0004f130, module: libuClibc-0.9.28.so, symbol: strlen
  [042] inode: 16386, pc: 0x00017508, module: alphapd, symbol: webncasestrcmp
  [043] inode: 16386, pc: 0x000174f4, module: alphapd, symbol: webncasestrcmp
  [044] inode: 8228, pc: 0x0004f130, module: libuClibc-0.9.28.so, symbol: strlen
  [045] inode: 16386, pc: 0x000174ec, module: alphapd, symbol: webncasestrcmp
  [046] inode: 16386, pc: 0x000174b4, module: alphapd, symbol: webncasestrcmp
  [047] inode: 16386, pc: 0x000113e0, module: alphapd, symbol: ReplaceCgiPath
  [048] inode: 16386, pc: 0x00011584, module: alphapd, symbol: websKernalParameter
  [049] inode: 16386, pc: 0x000115a4, module: alphapd, symbol: websKernalParameter
  [050] inode: 16386, pc: 0x00011598, module: alphapd, symbol: websKernalParameter
  [051] inode: 16386, pc: 0x000114b0, module: alphapd, symbol: ReplaceCgiPath
  [052] inode: 16386, pc: 0x00011420, module: alphapd, symbol: ReplaceCgiPath
  [053] inode: 8228, pc: 0x0004f160, module: libuClibc-0.9.28.so, symbol: strncasecmp
  [054] inode: 16386, pc: 0x00017520, module: alphapd, symbol: webncasestrcmp
  [055] inode: 16386, pc: 0x0001754c, module: alphapd, symbol: webncasestrcmp
  [056] inode: 16386, pc: 0x00017510, module: alphapd, symbol: webncasestrcmp
  [057] inode: 8228, pc: 0x0004f130, module: libuClibc-0.9.28.so, symbol: strlen
  [058] inode: 16386, pc: 0x00017508, module: alphapd, symbol: webncasestrcmp
  [059] inode: 16386, pc: 0x000174f4, module: alphapd, symbol: webncasestrcmp
  [060] inode: 8228, pc: 0x0004f130, module: libuClibc-0.9.28.so, symbol: strlen
  [061] inode: 16386, pc: 0x000174ec, module: alphapd, symbol: webncasestrcmp
  [062] inode: 16386, pc: 0x000174b4, module: alphapd, symbol: webncasestrcmp
  [063] inode: 16386, pc: 0x000113e0, module: alphapd, symbol: ReplaceCgiPath
  [064] inode: 16386, pc: 0x00011584, module: alphapd, symbol: websKernalParameter
  [065] inode: 16386, pc: 0x000115a4, module: alphapd, symbol: websKernalParameter
  [066] inode: 16386, pc: 0x00011598, module: alphapd, symbol: websKernalParameter
  [067] inode: 16386, pc: 0x000114b0, module: alphapd, symbol: ReplaceCgiPath
  [068] inode: 16386, pc: 0x00011420, module: alphapd, symbol: ReplaceCgiPath
  [069] inode: 8228, pc: 0x0004f160, module: libuClibc-0.9.28.so, symbol: strncasecmp
  [070] inode: 16386, pc: 0x00017520, module: alphapd, symbol: webncasestrcmp
  [071] inode: 16386, pc: 0x0001754c, module: alphapd, symbol: webncasestrcmp
  [072] inode: 16386, pc: 0x00017510, module: alphapd, symbol: webncasestrcmp
  [073] inode: 8228, pc: 0x0004f130, module: libuClibc-0.9.28.so, symbol: strlen
  [074] inode: 16386, pc: 0x00017508, module: alphapd, symbol: webncasestrcmp
  [075] inode: 16386, pc: 0x000174f4, module: alphapd, symbol: webncasestrcmp
  [076] inode: 8228, pc: 0x0004f130, module: libuClibc-0.9.28.so, symbol: strlen
  [077] inode: 16386, pc: 0x000174ec, module: alphapd, symbol: webncasestrcmp
  [078] inode: 16386, pc: 0x000174b4, module: alphapd, symbol: webncasestrcmp
  [079] inode: 16386, pc: 0x000113e0, module: alphapd, symbol: ReplaceCgiPath
  [080] inode: 16386, pc: 0x00011584, module: alphapd, symbol: websKernalParameter
  [081] inode: 16386, pc: 0x000115a4, module: alphapd, symbol: websKernalParameter
  [082] inode: 16386, pc: 0x00011598, module: alphapd, symbol: websKernalParameter
  [083] inode: 16386, pc: 0x000114b0, module: alphapd, symbol: ReplaceCgiPath
  [084] inode: 16386, pc: 0x00011420, module: alphapd, symbol: ReplaceCgiPath
  [085] inode: 8228, pc: 0x0004f160, module: libuClibc-0.9.28.so, symbol: strncasecmp
  [086] inode: 16386, pc: 0x00017520, module: alphapd, symbol: webncasestrcmp
  [087] inode: 16386, pc: 0x0001754c, module: alphapd, symbol: webncasestrcmp
  [088] inode: 16386, pc: 0x00017510, module: alphapd, symbol: webncasestrcmp
  [089] inode: 8228, pc: 0x0004f130, module: libuClibc-0.9.28.so, symbol: strlen
  [090] inode: 16386, pc: 0x00017508, module: alphapd, symbol: webncasestrcmp
  [091] inode: 16386, pc: 0x000174f4, module: alphapd, symbol: webncasestrcmp
  [092] inode: 8228, pc: 0x0004f130, module: libuClibc-0.9.28.so, symbol: strlen
  [093] inode: 16386, pc: 0x000174ec, module: alphapd, symbol: webncasestrcmp
  [094] inode: 16386, pc: 0x000174b4, module: alphapd, symbol: webncasestrcmp
  [095] inode: 16386, pc: 0x000113e0, module: alphapd, symbol: ReplaceCgiPath
  [096] inode: 16386, pc: 0x00011584, module: alphapd, symbol: websKernalParameter
