,,,,GENERAL,,PRE-ANALYSIS,,,EMULATION_TRACING,GENERAL_FUZZING,,,,,,,,,AFLNET_FUZZING,,,STAFF_FUZZING,,,EXTRA_FUZZING,
status,exp_name,container_name,num_cores,mode (M),firmware (F),subregion_divisor (SD),min_subregion_len (MSL),delta_threshold (DT),include_libraries (IL),fuzz_tmout (FT),timeout (T),afl_no_arith (ANA),afl_no_bitflip (ANB),afl_no_interest (ANI),afl_no_user_extras (ANU),afl_no_extras (ANE),afl_calibration (AC),afl_shuffle_queue (ASQ),region_delimiter (RD),proto (P),region_level_mutation (RLM),sequence_minimization (SM),taint_metrics (TM),checkpoint_strategy (CS),coverage_tracing (CT),stage_max (SMA)
,,,1,pre_analysis,asus/FW_RT_N10U_B1_30043763754.zip,10,3,1.0,1,86400,150,1,0,1,1,1,1,0,\x1A\x1A\x1A\x1A,http,1,1,rarest_app_tb_pc,1,edge,1
,,,1,pre_analysis,asus/FW_RT_N53_30043763754.zip,10,3,1.0,1,86400,150,1,0,1,1,1,1,0,\x1A\x1A\x1A\x1A,http,1,1,rarest_app_tb_pc,1,edge,1
,,,1,pre_analysis,dlink/dap2310_v1.00_o772.bin,10,3,1.0,1,86400,150,1,0,1,1,1,1,0,\x1A\x1A\x1A\x1A,http,1,1,rarest_app_tb_pc,1,edge,1
,,,1,pre_analysis,dlink/dir300_v1.03_7c.bin,10,3,1.0,1,86400,150,1,0,1,1,1,1,0,\x1A\x1A\x1A\x1A,http,1,1,rarest_app_tb_pc,1,edge,1
,,,1,pre_analysis,dlink/DIR815A1_FW104b03.bin,10,3,1.0,1,86400,150,1,0,1,1,1,1,0,\x1A\x1A\x1A\x1A,http,1,1,rarest_app_tb_pc,1,edge,1
,,,1,pre_analysis,linksys/FW_RE1000_1.0.02.001_US_20120214_SHIPPING.bin,10,3,1.0,1,86400,150,1,0,1,1,1,1,0,\x1A\x1A\x1A\x1A,http,1,1,rarest_app_tb_pc,1,edge,1
,,,1,pre_analysis,linksys/FW_WRT320N_1.0.05.002_20110331.bin,10,3,1.0,1,86400,150,1,0,1,1,1,1,0,\x1A\x1A\x1A\x1A,http,1,1,rarest_app_tb_pc,1,edge,1
,,,1,pre_analysis,netgear/DGN3500-V1.1.00.30_NA.zip,10,3,1.0,1,86400,150,1,0,1,1,1,1,0,\x1A\x1A\x1A\x1A,http,1,1,rarest_app_tb_pc,1,edge,1
,,,1,pre_analysis,netgear/DGND3300_Firmware_Version_1.1.00.22__North_America_.zip,10,3,1.0,1,86400,150,1,0,1,1,1,1,0,\x1A\x1A\x1A\x1A,http,1,1,rarest_app_tb_pc,1,edge,1
,,,1,pre_analysis,netgear/JNR3210_Firmware_Version_1.1.0.14.zip,10,3,1.0,1,86400,150,1,0,1,1,1,1,0,\x1A\x1A\x1A\x1A,http,1,1,rarest_app_tb_pc,1,edge,1
,,,1,pre_analysis,tplink/Archer_C2_US__v1_160128.zip,10,3,1.0,1,86400,150,1,0,1,1,1,1,0,\x1A\x1A\x1A\x1A,http,1,1,rarest_app_tb_pc,1,edge,1
,,,1,pre_analysis,tplink/TL-WPA8630_US__V2_171011.zip,10,3,1.0,1,86400,150,1,0,1,1,1,1,0,\x1A\x1A\x1A\x1A,http,1,1,rarest_app_tb_pc,1,edge,1
,,,1,pre_analysis,trendnet/FW_TV-IP121WN_1.2.2.zip,10,3,1.0,1,86400,150,1,0,1,1,1,1,0,\x1A\x1A\x1A\x1A,http,1,1,rarest_app_tb_pc,1,edge,1
,,,1,pre_analysis,trendnet/FW_TV-IP651WI_V1_1.07.01.zip,10,3,1.0,1,86400,150,1,0,1,1,1,1,0,\x1A\x1A\x1A\x1A,http,1,1,rarest_app_tb_pc,1,edge,1
,,,1,pre_analysis,trendnet/TEW-652BRU_1.00b12.zip,10,3,1.0,1,86400,150,1,0,1,1,1,1,0,\x1A\x1A\x1A\x1A,http,1,1,rarest_app_tb_pc,1,edge,1
